Name,Amount
Aaliyah Auer,17.58
Aaliyah Carroll,43.05
Aaliyah Champlin,12.22
Aaliyah Davis,20.61
Aaron Gaylord,13.7
Aaron Kozey,38.08
Aaron Waelchi,34.19
Aaron Will,26.89
Abagail Beier,13.87
Abagail Bernhard,33.78
Abbey Kautzer,25.2
Abbey Paucek,44.2
Abbie Ankunding,20.09
Abbie Bode,32.21
Abbie Glover,24.16
Abbie Hammes,55.54
Abbie Kozey,5.78
Abbie Smitham,31.46
Abbigail Fritsch,44.95
Abbigail Goyette,37.22
Abbigail Larkin,55.28
Abdiel Hyatt,1.43
Abdiel Leannon,26.28
Abdiel Roob,62.83
Abdiel Schmeler,43.5
Abdiel Schowalter,12.69
Abdiel Thompson,24.19
Abdiel Ullrich,19.48
Abdul Bauch,42.89
Abdul O'Hara,32.99
Abdul Wuckert,46.26
Abdullah Heathcote,29.64
Abe Kulas,16.55
Abe White,38.05
Abe Zieme,26.66
Abel Rice,67.46000000000001
Abel Runolfsdottir,38.1
Abel Sporer,28.22
Abel Torphy,21.78
Abelardo Hahn,49.47
Abelardo Kozey,9.13
Abelardo Tromp,16.880000000000003
Abigail Bogan,29.7
Abigail Murray,33.12
Abigail Predovic,36.79
Abigail Weber,33.57
Abigayle Jerde,49.44
Abigayle Koepp,4.03
Abigayle Lebsack,33.04
Abner Bergstrom,31.35
Abner Connelly,33.22
Abner Stokes,39.019999999999996
Abner Tremblay,51.74
Abraham Considine,6.59
Abraham Wilkinson,40.650000000000006
Ada Gibson,19.33
Ada Goyette,27.47
Ada Jaskolski,39.160000000000004
Ada Morissette,69.1
Ada Tremblay,40.29
Ada Walter,17.62
Adah Simonis,21.630000000000003
Adalberto Berge,66.72
Adalberto Price,50.86
Adalberto Schuppe,32.24
Adaline Metz,12.91
Adam Hermiston,12.93
Adam Marks,20.45
Adam Thompson,7.54
Adan Hyatt,11.559999999999999
Adan Quigley,26.13
Adan Swift,38.1
Addie Emard,21.65
Addie Gaylord,42.57
Addie Koelpin,26.72
Addie Trantow,26.990000000000002
Addie Volkman,10.42
Addison Bogan,25.47
Addison Bosco,24.46
Addison Littel,9.35
Addison Ratke,23.549999999999997
Adela Adams,8.57
Adela Kulas,31.009999999999998
Adela Stark,15.93
Adelbert Durgan,3.96
Adelbert Harber,46.69
Adelbert McKenzie,35.84
Adelbert Murazik,7.27
Adelbert Renner,30.43
Adelbert Skiles,27.11
Adele Cronin,45.99
Adele Green,30.15
Adele O'Kon,20.5
Adele Parisian,22.82
Adelia Douglas,11.299999999999999
Adelia Effertz,14.940000000000001
Adelia Mante,15.59
Adelia Pacocha,24.9
Adelia Swift,32.43
Adeline Blick,65.0
Adeline Welch,15.11
Adell Bernier,12.97
Adell Cassin,33.13
Adell Hagenes,37.93
Adell Hahn,31.71
Adella Abbott,42.29
Adella Becker,34.43
Adella Hermann,15.079999999999998
Adella Hoppe,21.07
Adella Schiller,20.63
Adella Tremblay,24.27
Adelle Bayer,55.46
Adelle Gibson,6.68
Adelle Koelpin,11.780000000000001
Adelle Robel,34.65
Adelle Schinner,29.259999999999998
Adelle Skiles,27.14
Aditya Bechtelar,26.74
Aditya Crooks,14.469999999999999
Aditya Gislason,28.0
Adolf Cruickshank,15.92
Adolf Frami,17.39
Adolf Kling,23.909999999999997
Adolfo Huels,50.32
Adolfo Kris,60.22
Adolfo Lueilwitz,25.759999999999998
Adolfo Nicolas,26.599999999999998
Adolfo Quigley,54.64
Adolph Brekke,38.29
Adolph Murazik,10.84
Adolph Schaden,13.88
Adolphus Bahringer,24.060000000000002
Adolphus Dietrich,31.770000000000003
Adolphus Heidenreich,10.67
Adolphus Kessler,50.59
Adolphus Quigley,35.87
Adonis Hirthe,38.39
Adrain Kris,24.919999999999998
Adrain Turner,42.77
Adrian Lubowitz,30.19
Adrian Muller,21.7
Adriana Bartoletti,31.1
Adriana Nikolaus,16.87
Adriana West,15.190000000000001
